Postcode,Long,Lat,SA3,SA4,SA1,SA2,0–4,5–11,12–15,16–19,20–24,25–29,30–34,35–39,40–44,45–49,50–54,55–59,60–64,65–69,70–74,75–79,80–84,85 and over,Total
852,130.832639,-17.44449505,70205,702,70205106806,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106806,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106702,702051067,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106807,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,134.936628,-15.104596,70205,702,70205106605,702051066,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106722,702051067,,,,,,,,,,,,,,,,,,,
852,132.864374,-14.524609,70205,702,70205106503,702051065,,,,,,,,,,,,,,,,,,,
852,133.0434117,-14.96983009,70205,702,70205106506,702051065,,,,,,,,,,,,,,,,,,,
852,135.9389164,-16.26282987,70205,702,70205106602,702051066,,,,,,,,,,,,,,,,,,,
852,134.0797817,-15.2254374,70205,702,70205106606,702051066,,,,,,,,,,,,,,,,,,,
852,134.7440734,-14.73158731,70205,702,70205106608,702051066,,,,,,,,,,,,,,,,,,,
852,132.5362579,-14.11434123,70205,702,70205106503,702051065,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106604,702051066,,,,,,,,,,,,,,,,,,,
852,136.8142529,-15.66080497,70205,702,70205106602,702051066,,,,,,,,,,,,,,,,,,,
852,131.215146,-16.79514658,70205,702,70205106804,702051068,,,,,,,,,,,,,,,,,,,
852,136.9827659,-16.75852817,70205,702,70205106602,702051066,,,,,,,,,,,,,,,,,,,
852,132.6120699,-15.65938858,70205,702,70205106508,702051065,,,,,,,,,,,,,,,,,,,
852,132.7009096,-18.61662725,70205,702,70202105501,702021055,,,,,,,,,,,,,,,,,,,
852,130.4960315,-15.66155041,70205,702,70205106802,702051068,,,,,,,,,,,,,,,,,,,
852,131.8014849,-16.54851117,70205,702,70205106812,702051068,,,,,,,,,,,,,,,,,,,
852,132.2980338,-14.49121431,70205,702,70205106709,702051067,,,,,,,,,,,,,,,,,,,
852,132.539518,-14.55560838,70205,702,70205106722,702051067,,,,,,,,,,,,,,,,,,,
852,131.5356628,-16.66340592,70205,702,70205106808,702051068,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106808,702051068,,,,,,,,,,,,,,,,,,,
852,133.952899,-20.02830877,70205,702,70202105503,702021055,,,,,,,,,,,,,,,,,,,
852,137.050719,-15.711424,70205,702,70205106806,702051068,,,,,,,,,,,,,,,,,,,
852,134.9242872,-14.43717242,70205,702,70205106609,702051066,,,,,,,,,,,,,,,,,,,
852,130.8418661,-16.4525888,70205,702,70205106809,702051068,,,,,,,,,,,,,,,,,,,
853,132.3791217,-14.53113365,70205,702,70205106717,702051067,,,,,,,,,,,,,,,,,,,
853,132.417121,-14.558122,70205,702,70205106717,702051067,,,,,,,,,,,,,,,,,,,
854,136.424191,-16.503809,70205,702,70205106601,702051066,,,,,,,,,,,,,,,,,,,
854,136.3091159,-16.070754,70205,702,70205106602,702051066,,,,,,,,,,,,,,,,,,,
860,134.173599,-19.641301,70202,702,70202105608,702021056,,,,,,,,,,,,,,,,,,,
